Issuer Name,Date,Last Transaction Price,Max.,Min.,Average Price,% Change,Quantity,Turnover in BEST in Denars,Total Turnover in Denars
ADIN,21.11.2024,"1.650,00","1.650,00","1.650,00","1.650,00","0,00",13,21.450,21.450
ADIN,18.11.2024,"1.650,00","1.650,00","1.650,00","1.650,00","0,00",190,313.500,313.500
ADIN,15.11.2024,"1.650,00","1.650,00","1.650,00","1.650,00","0,00",100,165.000,165.000
ADIN,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
ADIN,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
ADIN,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
ADIN,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
ADIN,02.10.2024,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",100,180.000,180.000
ADIN,24.9.2024,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",16,28.800,28.800
ADIN,23.9.2024,"1.800,00","1.800,00","1.800,00","1.800,00","1,69",94,169.200,169.200
ADIN,20.9.2024,"1.770,00","1.770,00","1.770,00","1.770,00","4,12",135,238.950,238.950
ADIN,19.9.2024,"1.700,00","1.700,00","1.700,00","1.700,00","3,28",200,340.000,340.000
ADIN,18.9.2024,"1.646,00","1.646,00","1.646,00","1.646,00","0,00",10,16.460,16.460
ADIN,17.9.2024,"1.646,00","1.646,00","1.646,00","1.646,00","0,00",265,436.190,436.190
ADIN,13.9.2024,"1.646,00","1.646,00","1.646,00","1.646,00","2,88",120,197.520,197.520
ADIN,26.8.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-0,62",150,240.000,240.000
ADIN,23.8.2024,"1.610,00","1.610,00","1.610,00","1.610,00","-2,37",83,133.630,133.630
ADIN,14.8.2024,"1.649,00","1.649,00","1.649,00","1.649,00","9,57",15,24.735,24.735
ADIN,13.8.2024,"1.505,00","1.505,00","1.505,00","1.505,00","0,33",100,150.500,150.500
ADIN,07.8.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",200,300.000,300.000
ADIN,30.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",240,360.000,360.000
ADIN,29.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",600,900.000,900.000
ADIN,12.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",368,552.000,552.000
ADIN,10.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","-6,25",600,900.000,900.000
ADIN,27.6.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-5,33",200,320.000,320.000
