Issuer Name,Date,Last Transaction Price,Max.,Min.,Average Price,% Change,Quantity,Turnover in BEST in Denars,Total Turnover in Denars
ADIN,21.11.2024,1650.0,1650.0,1650.0,1650.0,"0,00",13.0,21.450,21.450
ADIN,18.11.2024,1650.0,1650.0,1650.0,1650.0,"0,00",190.0,313.500,313.500
ADIN,15.11.2024,1650.0,1650.0,1650.0,1650.0,"0,00",100.0,165.000,165.000
ADIN,21.10.2024,1650.0,1650.0,1650.0,1650.0,"-2,94",208.0,343.200,343.200
ADIN,18.10.2024,1700.0,1700.0,1700.0,1700.0,"0,00",2.0,3.400,3.400
ADIN,10.10.2024,1700.0,1700.0,1700.0,1700.0,"-2,86",200.0,340.000,340.000
ADIN,09.10.2024,1750.0,1750.0,1750.0,1750.0,"-2,78",16.0,28.000,28.000
ADIN,02.10.2024,1800.0,1800.0,1800.0,1800.0,"0,00",100.0,180.000,180.000
ADIN,24.9.2024,1800.0,1800.0,1800.0,1800.0,"0,00",16.0,28.800,28.800
ADIN,23.9.2024,1800.0,1800.0,1800.0,1800.0,"1,69",94.0,169.200,169.200
ADIN,20.9.2024,1770.0,1770.0,1770.0,1770.0,"4,12",135.0,238.950,238.950
ADIN,19.9.2024,1700.0,1700.0,1700.0,1700.0,"3,28",200.0,340.000,340.000
ADIN,18.9.2024,1646.0,1646.0,1646.0,1646.0,"0,00",10.0,16.460,16.460
ADIN,17.9.2024,1646.0,1646.0,1646.0,1646.0,"0,00",265.0,436.190,436.190
ADIN,13.9.2024,1646.0,1646.0,1646.0,1646.0,"2,88",120.0,197.520,197.520
ADIN,26.8.2024,1600.0,1600.0,1600.0,1600.0,"-0,62",150.0,240.000,240.000
ADIN,23.8.2024,1610.0,1610.0,1610.0,1610.0,"-2,37",83.0,133.630,133.630
ADIN,14.8.2024,1649.0,1649.0,1649.0,1649.0,"9,57",15.0,24.735,24.735
ADIN,13.8.2024,1505.0,1505.0,1505.0,1505.0,"0,33",100.0,150.500,150.500
ADIN,07.8.2024,1500.0,1500.0,1500.0,1500.0,"0,00",200.0,300.000,300.000
ADIN,30.7.2024,1500.0,1500.0,1500.0,1500.0,"0,00",240.0,360.000,360.000
ADIN,29.7.2024,1500.0,1500.0,1500.0,1500.0,"0,00",600.0,900.000,900.000
ADIN,12.7.2024,1500.0,1500.0,1500.0,1500.0,"0,00",368.0,552.000,552.000
ADIN,10.7.2024,1500.0,1500.0,1500.0,1500.0,"-6,25",600.0,900.000,900.000
ADIN,27.6.2024,1600.0,1600.0,1600.0,1600.0,"-5,33",200.0,320.000,320.000
ADIN,29.5.2024,1690.0,1690.0,1690.0,1690.0,"0,12",50.0,84.500,84.500
ADIN,17.5.2024,1688.0,1688.0,1688.0,1688.0,"-0,53",76.0,128.288,128.288
ADIN,14.5.2024,1697.0,1697.0,1697.0,1697.0,"41,42",50.0,84.850,84.850
ADIN,05.2.2024,1200.0,1200.0,1200.0,1200.0,"0,00",153.0,183.600,183.600
ADIN,31.1.2024,1200.0,1200.0,1200.0,1200.0,"20,00",295.0,354.000,354.000
ALK,26.12.2024,28299.0,28311.0,28200.0,28303.56,"0,00",650.0,18.397.312,18.397.312
ALK,25.12.2024,28310.0,28500.0,28300.0,28303.43,"0,08",582.0,16.472.599,16.472.599
ALK,24.12.2024,28350.0,28350.0,28200.0,28280.9,"-0,11",460.0,13.009.214,13.009.214
ALK,23.12.2024,28300.0,28360.0,28050.0,28312.51,"-0,19",203.0,5.747.440,5.747.440
ALK,20.12.2024,28350.0,28520.0,28349.0,28366.49,"0,09",683.0,19.374.315,19.374.315
ALK,19.12.2024,28250.0,29000.0,28250.0,28342.11,"0,36",503.0,14.256.081,14.256.081
ALK,18.12.2024,28251.0,28251.0,28200.0,28241.78,"-0,01",484.0,13.669.020,13.669.020
ALK,17.12.2024,28250.0,28250.0,28230.0,28244.91,"0,11",369.0,10.422.370,10.422.370
ALK,16.12.2024,28250.0,28250.0,28198.0,28213.17,"0,37",580.0,16.363.637,16.363.637
ALK,13.12.2024,28150.0,28200.0,28100.0,28110.06,"0,29",300.0,8.433.017,8.433.017
ALK,12.12.2024,28001.0,28100.0,27950.0,28030.17,"0,60",822.0,23.040.796,23.040.796
ALK,11.12.2024,27979.0,27980.0,27800.0,27863.62,"0,02",629.0,17.526.215,17.526.215
ALK,10.12.2024,27850.0,27992.0,27800.0,27859.13,"-0,47",103.0,2.869.490,2.869.490
ALK,06.12.2024,27994.0,28200.0,27500.0,27991.95,"4,82",205.0,5.738.350,5.738.350
ALK,05.12.2024,27499.0,27499.0,26200.0,26704.83,"4,60",358.0,9.560.330,9.560.330
ALK,04.12.2024,25900.0,25900.0,25402.0,25529.34,"0,45",242.0,6.178.100,6.178.100
ALK,03.12.2024,25550.0,25550.0,25379.0,25415.78,"0,14",258.0,6.557.272,6.557.272
ALK,02.12.2024,25400.0,25499.0,25300.0,25379.05,"0,20",286.0,7.258.407,7.258.407
ALK,29.11.2024,25300.0,25370.0,25300.0,25327.56,"0,32",465.0,11.777.315,11.777.315
ALK,28.11.2024,25290.0,25290.0,25215.0,25247.73,"0,11",306.0,7.725.805,7.725.805
ALK,27.11.2024,25244.0,25250.0,25200.0,25219.04,"0,06",193.0,4.867.275,4.867.275
ALK,26.11.2024,25205.0,25205.0,25200.0,25202.82,"-0,06",333.0,8.392.540,8.392.540
ALK,25.11.2024,25200.0,25300.0,25150.0,25218.05,"0,18",577.0,14.550.816,14.550.816
ALK,22.11.2024,25100.0,25200.0,25100.0,25172.12,"-0,10",286.0,7.199.226,7.199.226
ALK,21.11.2024,25190.0,25200.0,25190.0,25198.46,"0,15",209.0,5.266.479,5.266.479
ALK,20.11.2024,25198.0,25300.0,25000.0,25159.51,"0,45",552.0,13.888.050,13.888.050
ALK,19.11.2024,25100.0,25170.0,25000.0,25047.25,"0,41",364.0,9.117.198,9.117.198
ALK,18.11.2024,25000.0,25000.0,24899.0,24943.9,"2,65",344.0,8.580.703,8.580.703
ALK,15.11.2024,24350.0,24350.0,24030.0,24300.32,"1,29",132.0,3.207.642,7.629.322
ALK,14.11.2024,24000.0,24000.0,23950.0,23991.57,"0,29",408.0,9.788.559,13.733.409
ALK,13.11.2024,24000.0,24000.0,23889.0,23922.38,"0,54",175.0,4.186.417,8.110.017
ALK,12.11.2024,23820.0,23821.0,23700.0,23793.41,"1,54",485.0,11.539.805,15.449.805
ALK,11.11.2024,23889.0,23889.0,23200.0,23432.42,"1,03",88.0,2.062.053,2.062.053
